tab1_reg-nce : Répartition de la consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,INDICATEUR,Consommation de combustibles,Consommation totale brute,Consommation totale nette
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,16,31,31
,"E33 - Construction navale et aéronautique, armement",5,10,10
,"E34 - Industrie textile, du cuir et de l'habillement",2,3,3
,E35 - Industrie du papier et du carton,33,62,62
,E36 - Fabrication de produits en caoutchouc,2,10,10
,E37 - Fabrication de produits en plastique,8,29,29
,E38 - Industries diverses,8,23,23
Poitou-Charentes,E16 - Sidérurgie,0,0,0
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,1,2,2
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,72,84,84
,E22 - Industrie du verre,s,52,52
,E23 - Fabrication d'engrais,0,0,0
,E24 - Autres industries de la chimie minérale,0,0,0
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",0,0,0
,E26 - Autres industries de la chimie organique de base,23,43,40
,E28 - Parachimie et industrie pharmaceutique,1,2,2
,E29 - Fonderie et travail des métaux,15,38,38
,E30 - Construction mécanique,6,12,11
,E31 - Construction électrique et électronique,8,21,21
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,6,14,14
,"E33 - Construction navale et aéronautique, armement",4,7,7
,"E34 - Industrie textile, du cuir et de l'habillement",2,4,4
,E35 - Industrie du papier et du carton,28,41,41
,E36 - Fabrication de produits en caoutchouc,s,s,s
,E37 - Fabrication de produits en plastique,3,10,10
,E38 - Industries diverses,12,23,23
Aquitaine,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,2,5,5
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,36,53,50
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,8,17,17
,E24 - Autres industries de la chimie minérale,103,137,137
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,87,81
,E26 - Autres industries de la chimie organique de base,89,177,176
,E28 - Parachimie et industrie pharmaceutique,18,33,32
,E29 - Fonderie et travail des métaux,8,23,23
,E30 - Construction mécanique,3,6,6
,E31 - Construction électrique et électronique,3,9,9
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,4,13,13
,"E33 - Construction navale et aéronautique, armement",13,33,33
,"E34 - Industrie textile, du cuir et de l'habillement",1,2,2
,E35 - Industrie du papier et du carton,502,693,517
,E36 - Fabrication de produits en caoutchouc,0,2,2
,E37 - Fabrication de produits en plastique,4,24,24
,E38 - Industries diverses,63,93,93
Midi-Pyrénées,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,6,11,11
,E19 - Production de minéraux divers,5,10,10
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,44,60,60
,E22 - Industrie du verre,33,43,43
,E23 - Fabrication d'engrais,0,0,0
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,6,32,28
,E28 - Parachimie et industrie pharmaceutique,2,10,10
,E29 - Fonderie et travail des métaux,18,37,37
,E30 - Construction mécanique,6,10,10
,E31 - Construction électrique et électronique,4,19,19
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,1,6,6
,"E33 - Construction navale et aéronautique, armement",24,62,56
,"E34 - Industrie textile, du cuir et de l'habillement",10,15,15
,E35 - Industrie du papier et du carton,s,s,s
,E36 - Fabrication de produits en caoutchouc,0,0,0
,E37 - Fabrication de produits en plastique,3,12,12
,E38 - Industries diverses,17,27,27
Limousin,E16 - Sidérurgie,0,0,0
,E18 - Métallurgie de première transformation des métaux non ferreux,0,0,0
,E19 - Production de minéraux divers,0,0,0
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,29,36,36
,E22 - Industrie du verre,0,0,0
,E23 - Fabrication d'engrais,0,0,0
,E24 - Autres industries de la chimie minérale,0,0,0
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",0,0,0
,E26 - Autres industries de la chimie organique de base,s,s,s
,E28 - Parachimie et industrie pharmaceutique,1,2,2
,E29 - Fonderie et travail des métaux,4,8,8
,E30 - Construction mécanique,1,2,2
,E31 - Construction électrique et électronique,2,8,8
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,2,4,4
,"E33 - Construction navale et aéronautique, armement",1,2,2
,"E34 - Industrie textile, du cuir et de l'habillement",1,2,2
,E35 - Industrie du papier et du carton,s,293,287
,E36 - Fabrication de produits en caoutchouc,s,s,s
,E37 - Fabrication de produits en plastique,1,3,3
,E38 - Industries diverses,13,21,21
Rhône-Alpes,E16 - Sidérurgie,162,355,355
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,79,104,104
,E22 - Industrie du verre,141,173,173
,E23 - Fabrication d'engrais,0,0,0
,E24 - Autres industries de la chimie minérale,527,669,427
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",59,125,124
,E26 - Autres industries de la chimie organique de base,186,330,287
,E28 - Parachimie et industrie pharmaceutique,27,61,61
,E29 - Fonderie et travail des métaux,87,198,197
,E30 - Construction mécanique,32,81,81
,E31 - Construction électrique et électronique,61,158,158
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,23,46,44
,"E33 - Construction navale et aéronautique, armement",12,20,20
,"E34 - Industrie textile, du cuir et de l'habillement",47,73,72
,E35 - Industrie du papier et du carton,95,232,228
,E36 - Fabrication de produits en caoutchouc,7,13,13
,E37 - Fabrication de produits en plastique,38,131,130
,E38 - Industries diverses,20,44,44
Auvergne,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,39,52,52
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,0,0,0
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,2,2
,E26 - Autres industries de la chimie organique de base,43,50,34
,E28 - Parachimie et industrie pharmaceutique,5,11,11
,E29 - Fonderie et travail des métaux,27,50,49
,E30 - Construction mécanique,4,7,7
,E31 - Construction électrique et électronique,2,5,5
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,2,5,5
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",3,7,7
,E35 - Industrie du papier et du carton,7,14,14
,E36 - Fabrication de produits en caoutchouc,29,51,51
,E37 - Fabrication de produits en plastique,4,31,31
,E38 - Industries diverses,4,13,13
Languedoc-Roussillon,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,2,3,3
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,53,64,64
,E22 - Industrie du verre,44,59,59
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,27,38,33
,E28 - Parachimie et industrie pharmaceutique,1,2,2
,E29 - Fonderie et travail des métaux,2,4,4
,E30 - Construction mécanique,2,8,8
,E31 - Construction électrique et électronique,0,7,7
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,0,1,1
,"E33 - Construction navale et aéronautique, armement",s,s,s
