Indicateur,"Valeur des achats (en millions d'euros)","Quantités achetées de combustibles minéraux solides","Quantités consommées de combustibles minéraux solides","Valeur des achats de combustibles minéraux solides","Prix moyen des combustibles minéraux solides",Quantités achetées de gaz,Quantités consommées de gaz,Valeur des achats de gaz,Prix moyen du gaz,"Quantités achetées de coke de pétrole","Quantités consommées de coke de pétrole","Valeur des achats de coke de pétrole",Prix moyen de coke de pétrole,"Quantités achetées de butane-propane","Quantités consommées de butane-propane","Valeur des achats de butane-propane",Prix moyen de butane-propane,"Quantités achetées de fioul lourd","Quantités consommées de fioul lourd","Valeur des achats de fioul lourd",Prix moyen de fioul lourd,"Quantités achetées de fioul domestique","Quantités consommées de fioul domestique","Valeur des achats de fioul domestique",Prix moyen de fioul domestique,Quantités achetées de bois,Quantités consommées de bois,Valeur des achats de bois,Prix moyen du bois,Quantités achetées de vapeur,Quantités consommées de vapeur,Valeur des achats de vapeur,Prix moyen de vapeur,"Quantités consommées d’hydrogènes","Quantités autoproduites d’hydrogène",Prix moyen d’hydrogène,"Quantités achetées d'électricité","Quantités consommées d'électricité","Quantités autoproduites d’électricité","Valeur des achats d'électricité",Prix moyen d’électricité
21 - Industrie pharmaceutique,279.9,0,0,0,0,2182.9,2182.9,65.6,30.1,0,0,0,0,1.2,1.2,0.8,618,0,0,0,0,986.9,1058,0.9,0.9,0,0,0,0,1053.9,s,25,23.7,3.9,0,0,s,s,s,187.5,s
22 - Fabrication de produits en caoutchouc et en plastique,541.4,0,0,0,0,2621.1,2621.1,83,31.7,0,0,0,0,13.3,13.4,9.6,721,8.7,8.9,4.8,552.1,4851.2,4998.9,s,s,s,34.3,s,s,491.4,491.4,7.9,16,0,0,0,5594.9,5646.9,75,432.8,77.4
23 - Fabrication d'autres produits minéraux non métalliques,1012.8,340.3,337.5,s,s,20064.4,20064.4,381.1,19,582.4,s,s,s,15,s,9.8,655.9,33.5,33.9,s,s,40529.5,s,24.4,0.6,231.9,231.9,s,s,220.6,220.6,4.7,21.4,5325.4,s,2.3,7663.3,7702.8,43.9,467.8,61
24 - Métallurgie,1828.3,5838.8,6085.1,715.6,122.6,12323,12323,217.4,17.6,195,s,s,s,5.7,s,s,s,1.2,1.2,s,s,16828.7,s,10.6,0.6,s,s,s,s,545.1,545.1,6.1,11.1,32890.8,s,11.2,17814.6,18162.4,397.4,820.9,46.1
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",485.6,s,s,s,s,3062.1,3062.1,105.4,34.4,s,s,s,s,11.4,s,9.4,824.3,0.3,0.3,0.2,689.6,12564.6,12299,8.3,0.7,0.3,s,0,44.4,16.4,16.4,s,s,s,0,2.5,4101.3,4112.4,20,355.3,86.6
"26 - Fabrication de produits informatiques, électroniques et optiques",159.1,0,0,0,0,369.6,s,14.7,39.8,0,0,0,0,s,0.2,0.2,s,0,0,0,904,1458.2,s,1,0.7,0,0,0,0,15,15,0.7,45.8,255.4,0,0.4,s,s,s,142.1,s
27 - Fabrication d'équipements électriques,225.5,50.1,49.9,13.8,275.5,1783,1783,53.3,29.9,0,0,0,0,2.3,2.3,1.8,765.5,0.1,0.4,0.1,850.1,2832.4,2813.4,1.8,0.6,0,0,0,50,20.8,s,1,47.9,810.7,0,0.6,2154.5,2158.3,4.5,153,71
28 - Fabrication de machines et équipements n.c.a.,239.1,0,0,0,0,1530.1,1530.1,59.3,38.8,0,0,0,0,6.3,s,4.9,776.7,1.8,1.8,1.7,937.5,12529.6,s,9.1,0.7,1.3,s,s,s,18.6,18.6,0.7,39.9,s,s,s,s,s,11.6,163.1,s
29 - Industrie automobile,472.1,0,0,0,0,2991.9,2991.9,87.8,29.4,0,0,0,0,8.8,8.8,5.5,622.9,0,0,0,928.1,4759.9,4799.7,3.2,0.7,1.4,5.5,0.2,124.7,233.5,233.5,5.1,21.9,0,0,0,5152.7,5197.2,s,370.3,71.9
30 - Fabrication d'autres matériels de transport,200.2,0,0,0,0,1130.6,s,40.8,36.1,0,0,0,0,2.1,2.1,1.6,738,0.1,0.1,0,741,2344.8,s,2.3,1,15.2,s,s,s,48,s,s,s,375.2,180,s,s,s,37.2,152.2,s
