Type d'énergie,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",,,,,Gaz de réseau,,,,,Coke de pétrole,,,,,Butane propane,,,,,Fioul lourd,,,,,Fioul domestique,,,,,Bois et sous-produit du bois,,,,,Vapeur,,,,
Indicateur,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages,"Fabrication (fours, séchoirs…) y compris production de vapeur",Matières premières,Production d'électricité,Chauffages et autres usages,Ensemble des usages
18 - Imprimerie et reproduction d'enregistrements,0,0,0,0,0,29,0,0,18,46,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,so,0,s,s,s,so,0,0,s
20 - Industrie chimique,352,s,s,s,384,1776,1028,63,137,3004,s,s,0,0,s,s,2045,s,4,2057,s,0,0,0,s,4,1,0,8,13,56,so,s,s,s,996,so,17,18,1032
21 - Industrie pharmaceutique,0,0,0,0,0,125,0,0,s,s,0,0,0,0,0,1,s,0,s,s,0,0,0,0,0,s,s,1,0,2,0,so,0,0,0,17,so,0,6,24
22 - Fabrication de produits en caoutchouc et en plastique,0,0,0,0,0,131,7,31,48,217,0,0,0,0,0,s,1,s,6,12,12,0,0,1,13,1,0,0,5,6,10,so,0,1,11,s,so,s,9,60
23 - Fabrication d'autres produits minéraux non métalliques,251,14,0,0,265,1519,s,0,s,1604,s,s,0,0,448,s,s,0,4,12,65,0,0,1,66,9,1,1,26,36,s,so,0,s,61,s,so,0,s,24
24 - Métallurgie,s,4197,s,s,4924,1041,1,0,77,1119,s,28,0,s,s,s,0,s,3,9,s,0,0,s,5,s,s,0,13,s,s,so,0,s,0,14,so,0,2,15
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",s,s,0,0,36,178,0,0,113,290,0,0,0,0,0,20,0,0,16,36,s,0,s,0,0,1,0,0,9,10,1,so,0,2,2,s,so,0,s,1
"26 - Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,0,8,1,0,23,32,0,0,0,0,0,s,0,0,0,s,0,0,s,0,s,0,s,s,1,1,0,so,0,0,0,0,so,0,4,4
27 - Fabrication d'équipements électriques,17,0,0,0,17,51,22,0,47,120,0,0,0,0,0,1,0,0,3,4,s,0,s,s,0,0,0,0,2,3,0,so,0,s,s,s,so,0,s,1
28 - Fabrication de machines et équipements n.c.a.,0,0,0,0,0,45,0,0,83,128,0,0,0,0,0,s,0,s,4,9,s,0,0,s,0,4,1,0,5,9,0,so,0,s,s,0,so,0,1,1
29 - Industrie automobile,s,0,0,0,s,169,0,4,143,316,0,0,0,0,0,8,0,0,5,13,s,0,0,s,1,1,s,0,3,s,s,so,0,s,0,1,so,0,14,15
30 - Fabrication d'autres matériels de transport,0,0,0,0,0,s,s,1,56,102,0,0,0,0,0,s,s,0,1,2,0,0,0,0,0,1,0,1,2,3,s,so,0,1,s,s,so,0,s,11
31 - Fabrication de meubles,0,0,0,0,0,9,0,0,9,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,1,so,0,14,15,0,so,0,0,0
32 - Autres industries manufacturières,0,0,0,0,0,15,0,0,11,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,so,0,s,s,s,so,0,s,2
