naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
28,Fabrication de machines et équipements n.c.a.,495,0,0,0,,2513,2513,99,39.0,,,,,0,0,0,,8,8,7,837,1,1,1,746,11970,12025,10,1,,,,,1,5,0,68,,,,,,,,,,,4116,4122,,379,92
29,Industrie automobile,482,0.0,0.0,0.0,,4094,4094,144,35.0,,,,,0,0,0,,12,12,10,848,0,0,0,761,,,,,,,,,,,,,504,7,27,,,,,,,,,4483,,313,70
30,Fabrication d'autres matériels de transport,233,0,0,0,,1819,1819,72,40.0,,,,,0,0,0,,3,3,3,835,,,,,,,,,,,,,5,5,1,127,200,4,40,,,,,,,,1962,1983,,150,77
31,Fabrication de meubles,78,0,0,0,,251,251,11,44.0,,,,,0,0,0,,11,11,9,834,0,0,0,,11333,11014,8,1,,,,,3,76,0,111,0,0,,,,,,,,,,515,,49,95
32,Autres industries manufacturières,64,0,0,0,,330,330,14,42.0,,,,,0,0,0,,1,1,1,877,0,0,0,,,,,,,,,,0,0,0,,,,,,,,,,,,604,605,,49,80
33,Réparation et installation de machines et d'équipements,74,0,0,0,,358,358,16,45.0,,,,,0,0,0,,2,2,1,966,4,4,4,1027,2349,2336,2,1,,,,,0,0,0,,58,2,53,,,,,,,,,539,,49,91
38,"Collecte, traitement et élimination des déchets ; récupération",78,0,0,0,,532,532,18,33.0,,,,,0,0,0,,1,1,1,1023,1,1,1,885,13948,13819,11,1,,,,,,,,,510,4,15,,,,,,,,475,476,,43,91
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",163,0,0,0,,660,660,22,34.0,,,,,0,0,0,,5,6,4,745.0,4,4,2,634.0,83446,83563,63,2,,,,,31,31,1,32.0,0.0,0.0,,,,,,,,,,815,,68,171
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2651,23.0,26.0,6.0,252.0,31682,31682,1055,102.0,,,,,0,0,0,,84.0,85.0,64.0,1494.0,166,167,88,1180.0,40695.0,40895.0,31.0,2.0,,,,,283,283,16,55.0,5152.0,54.0,42.0,,,,,,,,16673.0,19165,,1293,225
_T,Total,15894,9163,9299,1248,520,146119,146119,4755,33.0,,,,,988,1005,141,143,1867,1874,1223,655,716,735,363,508,313370,314553,240,1,,,,,2114,3467,84,40,47858,681,28,,,,,,,,109823,113044,,7161,65
