Tab1_reg-nce : Répartition de la consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,INDICATEUR,Consommation de combustibles,Consommation totale brute,Consommation totale nette
,"E34 - Industrie textile, du cuir et de l'habillement",5,8,8
,E35 - Industrie du papier et du carton,4,9,9
,E36 - Fabrication de produits en caoutchouc,12,28,28
,E37 - Fabrication de produits en plastique,7,30,30
,E38 - Industries diverses,37,55,55
Nord-Pas-de-Calais,E16 - Sidérurgie,s,2782,2782
,E18 - Métallurgie de première transformation des métaux non ferreux,130,496,496
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,57,71,71
,E22 - Industrie du verre,192,234,234
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,7,60,60
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",38,69,61
,E26 - Autres industries de la chimie organique de base,372,471,460
,E28 - Parachimie et industrie pharmaceutique,19,35,35
,E29 - Fonderie et travail des métaux,70,110,110
,E30 - Construction mécanique,11,19,19
,E31 - Construction électrique et électronique,42,78,78
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,80,154,154
,"E33 - Construction navale et aéronautique, armement",2,4,4
,"E34 - Industrie textile, du cuir et de l'habillement",22,46,46
,E35 - Industrie du papier et du carton,92,243,232
,E36 - Fabrication de produits en caoutchouc,1,23,23
,E37 - Fabrication de produits en plastique,14,50,50
,E38 - Industries diverses,23,46,46
Lorraine,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,1,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,s,s,s
,E22 - Industrie du verre,83,104,104
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,217,217
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,59,107,107
,E28 - Parachimie et industrie pharmaceutique,2,4,4
,E29 - Fonderie et travail des métaux,275,356,356
,E30 - Construction mécanique,21,35,35
,E31 - Construction électrique et électronique,7,16,16
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,52,104,104
,"E33 - Construction navale et aéronautique, armement",0,0,0
,"E34 - Industrie textile, du cuir et de l'habillement",12,24,24
,E35 - Industrie du papier et du carton,255,426,426
,E36 - Fabrication de produits en caoutchouc,0,s,s
,E37 - Fabrication de produits en plastique,9,29,29
,E38 - Industries diverses,48,69,69
Alsace,E16 - Sidérurgie,s,s,12
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,71
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,30,38,38
,E22 - Industrie du verre,s,38,38
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,2,35,35
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,s,s,s
,E28 - Parachimie et industrie pharmaceutique,8,22,22
,E29 - Fonderie et travail des métaux,28,51,51
,E30 - Construction mécanique,19,43,43
,E31 - Construction électrique et électronique,18,35,35
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,38,88,88
,"E33 - Construction navale et aéronautique, armement",1,3,3
,"E34 - Industrie textile, du cuir et de l'habillement",s,30,30
,E35 - Industrie du papier et du carton,87,180,164
,E36 - Fabrication de produits en caoutchouc,s,s,s
,E37 - Fabrication de produits en plastique,5,22,22
,E38 - Industries diverses,15,28,28
Franche-Comté,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,27,31,31
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,s,s,s
,E28 - Parachimie et industrie pharmaceutique,1,3,3
,E29 - Fonderie et travail des métaux,32,64,64
,E30 - Construction mécanique,6,12,12
,E31 - Construction électrique et électronique,2,5,5
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,48,105,105
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",0,1,1
,E35 - Industrie du papier et du carton,17,22,22
,E36 - Fabrication de produits en caoutchouc,2,2,2
,E37 - Fabrication de produits en plastique,10,37,37
,E38 - Industries diverses,30,47,47
Pays de la Loire,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,4,9,9
,E19 - Production de minéraux divers,2,3,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,30,39,s
,E22 - Industrie du verre,1,2,2
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,0,9,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",1,3,s
,E26 - Autres industries de la chimie organique de base,7,10,10
,E28 - Parachimie et industrie pharmaceutique,5,11,11
,E29 - Fonderie et travail des métaux,41,77,77
,E30 - Construction mécanique,17,35,35
,E31 - Construction électrique et électronique,12,34,34
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,21,52,52
,"E33 - Construction navale et aéronautique, armement",25,44,44
,"E34 - Industrie textile, du cuir et de l'habillement",12,21,21
,E35 - Industrie du papier et du carton,48,121,121
,E36 - Fabrication de produits en caoutchouc,7,35,s
,E37 - Fabrication de produits en plastique,14,52,52
,E38 - Industries diverses,s,72,72
Bretagne,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,1,2,2
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,21,29,29
,E22 - Industrie du verre,0,1,1
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,1,1,1
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,15,19,19
,E28 - Parachimie et industrie pharmaceutique,4,10,10
,E29 - Fonderie et travail des métaux,14,43,43
,E30 - Construction mécanique,5,12,12
,E31 - Construction électrique et électronique,4,13,13
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,s,s,s
,"E33 - Construction navale et aéronautique, armement",6,10,10
,"E34 - Industrie textile, du cuir et de l'habillement",4,10,10
,E35 - Industrie du papier et du carton,23,41,41
,E36 - Fabrication de produits en caoutchouc,3,12,12
,E37 - Fabrication de produits en plastique,6,26,26
,E38 - Industries diverses,9,24,24
Poitou-Charentes,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,s,1,1
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,73,84,84
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,s,39,22
,E28 - Parachimie et industrie pharmaceutique,1,3,3
,E29 - Fonderie et travail des métaux,14,31,31
,E30 - Construction mécanique,8,14,13
,E31 - Construction électrique et électronique,9,22,22
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,s,s,s
,"E33 - Construction navale et aéronautique, armement",5,8,8
,"E34 - Industrie textile, du cuir et de l'habillement",2,4,4
,E35 - Industrie du papier et du carton,48,66,66
,E36 - Fabrication de produits en caoutchouc,s,s,s
,E37 - Fabrication de produits en plastique,5,10,10
,E38 - Industries diverses,15,25,25
Aquitaine,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,1,5,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,39,52,s
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,s,89,89
,E24 - Autres industries de la chimie minérale,s,110,110
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,98,s
,E26 - Autres industries de la chimie organique de base,73,164,164
,E28 - Parachimie et industrie pharmaceutique,24,39,39
,E29 - Fonderie et travail des métaux,8,23,s
,E30 - Construction mécanique,3,5,5
,E31 - Construction électrique et électronique,3,7,7
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,4,14,14
,"E33 - Construction navale et aéronautique, armement",15,37,37
,"E34 - Industrie textile, du cuir et de l'habillement",1,2,2
,E35 - Industrie du papier et du carton,513,714,714
,E36 - Fabrication de produits en caoutchouc,1,2,s
,E37 - Fabrication de produits en plastique,4,24,24
,E38 - Industries diverses,72,97,97
Midi-Pyrénées,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,7,14,14
,E19 - Production de minéraux divers,5,10,10
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,46,61,61
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,0,0,0
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,5,31,27
