"GEO";"GEO_OBJECT";"NUMBER_EMPL";"ACTIVITY";"EACEI_MEASURE";"UNIT_MULT";"UNIT_MEASURE";"CONF_STATUS";"OBS_STATUS";"COMPARE_TIME";"TIME_PERIOD";"OBS_VALUE"
"28";"REG";"_T";"_T";"BR_CONTRAT_CHANG_1_PROP";"0";"PT";"F";"A";"_Z";2023;25.7
"F";"FRANCE";"_T";"B07T09";"BR_THER";"0";"GWH";"F";"A";"_Z";2023;15.4
"27";"REG";"_T";"_T";"BR_PROD";"0";"GWH";"F";"A";"_Z";2023;567.4
"F";"FRANCE";"E_GE500";"_T";"BIOR_PRIX";"0";"EUR_GWH";"F";"A";"_Z";2023;93.9
"F";"FRANCE";"_T";"30";"GAZR_VALA";"6";"EUR";"F";"A";"_Z";2023;102.1
"28";"REG";"_T";"_T";"LR_USQ2";"3";"TOE";"F";"A";"_Z";2023;0.2
"F";"FRANCE";"_T";"38";"GAZR_QAUP";"0";"GWH";"F";"A";"_Z";2023;852
"27";"REG";"_T";"_T";"LR_PRIX";"0";"EUR_L";"F";"A";"_Z";2023;0.94
"76";"REG";"_T";"_T";"LR_CSUP";"3";"L";"F";"A";"_Z";2023;3194.1
"F";"FRANCE";"_T";"14";"GAZR_USQ9";"3";"TOE";"F";"A";"_Z";2023;0.4
"F";"FRANCE";"_T";"21";"EFFECTIF";"0";"_Z";"F";"A";"_Z";2023;258
"F";"FRANCE";"_T";"32";"JR_CSUP";"3";"T";"F";"A";"_Z";2023;1.5
"28";"REG";"_T";"_T";"GAZR_PRIX";"0";"EUR_GWH";"C";"A";"_Z";2023;51.9
"F";"FRANCE";"_T";"24";"CR_VTTP";"3";"TOE";"C";"A";"_Z";2023;6.1
"F";"FRANCE";"E100T249";"_T";"QR_VALA";"6";"EUR";"F";"A";"_Z";2023;45
"44";"REG";"_T";"_T";"QR_CSTP";"3";"TOE";"F";"A";"_Z";2023;23.2
"32";"REG";"_T";"_T";"PR_VALA";"6";"EUR";"F";"A";"_Z";2023;28.5
"F";"FRANCE";"_T";"25";"YR_CSTP";"3";"TOE";"F";"A";"_Z";2023;0.2
"F";"FRANCE";"_T";"27";"LR_USQ4";"3";"TOE";"F";"A";"_Z";2023;0.8
"F";"FRANCE";"_T";"33";"PR_CSUP";"3";"T";"C";"A";"_Z";2023;0
"F";"FRANCE";"_T";"16";"QR_QAUP";"3";"L";"F";"A";"_Z";2023;25443.7
"75";"REG";"_T";"_T";"LR_VALA";"6";"EUR";"F";"A";"_Z";2023;8.3
"F";"FRANCE";"E250T499";"_T";"PR_VEND";"3";"T";"C";"A";"_Z";2023;13.9
"F";"FRANCE";"_T";"29";"BR_PROD";"0";"GWH";"F";"A";"_Z";2023;13.4
"F";"FRANCE";"_T";"38";"CMSR_VALA";"6";"EUR";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"15";"BIOR_CSTP";"3";"TOE";"F";"A";"_Z";2023;0.3
"F";"FRANCE";"_T";"28";"CMSR_VALA";"6";"EUR";"F";"A";"_Z";2023;0
"53";"REG";"_T";"_T";"CMSR_QAUP";"3";"T";"F";"A";"_Z";2023;0
