naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
26,"Fabrication de produits informatiques, électroniques et optiques",174,0,0,0,,,,,,,,,,0,0,0,,0,0,0,561,0,0,0,742,825,839,1,0.66,,,,,0,0,0,,,,,,,,,,,,2174,2174,,158,73
27,Fabrication d'équipements électriques,193,,,,,1274,1274,46,36,,,,,0,0,0,,5,5,3,612,0,0,0,600,4794,4511,3,0.6,,,,,,,,,,,,,,,,,,,,,,,
28,Fabrication de machines et équipements n.c.a.,257,0,0,0,,1852,1852,68,37,,,,,0,0,0,,9,10,6,660,0,0,0,735,12008,12109,8,0.66,,,,,1,4,0,91,,,,,,,,,,,,,,,
29,Industrie automobile,436,,,,,4193,4193,118,28,,,,,0,0,0,,,,,,1,1,1,615,5707,5647,4,0.66,,,,,3,6,0,61,364,4,21,,,,,,,,4862,4894,,301,62
30,Fabrication d'autres matériels de transport,204,0,0,0,,,,,,,,,,0,0,0,,4,3,3,716,,,,,3092,3016,2,0.68,,,,,,,,,166,2,25,,,,,,,,1916,1919,,147,77
31,Fabrication de meubles,45,0,0,0,,243,243,8,35,,,,,0,0,0,,1,1,1,708,0,0,0,,2776,2609,2,0.58,,,,,1,53,0,55,0,0,,,,,,,,,405,405,,34,84
32,Autres industries manufacturières,75,0,0,0,,370,370,13,36,,,,,0,0,0,,2,2,1,510,0,0,0,,933,1027,1,0.6,,,,,0,0,0,,,,,,,,,,,,,,,,
33,Réparation et installation de machines et d'équipements,85,0,0,0,,320,320,12,37,,,,,0,0,0,,1,1,0,288,0,0,0,,4294,4290,3,0.68,,,,,0,0,0,,46,1,35,,,,,,,,755,755,,70,92
38,"Collecte, traitement et élimination des déchets ; récupération",120,0,0,0,,1582,1582,39,25,,,,,0,0,0,,5,5,4,820,0,0,0,592,43733,38383,29,0.66,,,,,,,,,410,3,13,,,,,,,,530,530,,45,85
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",112,0.0,0.0,0.0,,415.0,415.0,10.0,24.0,,,,,0.0,0.0,0.0,,,,,,,,,,78144.0,75896.0,48.0,0.62,,,,,,,,,,,,,,,,,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2376,545,523,59,108.0,31360,31360,813,83,,,,,0.0,0.0,0.0,,5.0,5.0,3.0,580.0,90,89,52,1116.0,35305,32511,21,1.94,,,,,349,353,19,93.0,6912,76,39.0,,,,,,,,17271.0,20761,,1297,241
_T,Total,13279,9600,9891,1628,170,136676,136676,3254,24,,,,,770,780,102,132,2170,2157,924,426,269,272,114,423,373078,334243,233,0.62,,,,,2200,3636,90,41,50786,561,22,,,,,,,,109718,113067,,6374,58
