NCE;ENERGIE;QAUP;CSUP;VALA;PRIX
E20;KR;7;8;2;338
E21;KR;8;8;3;458
E22;KR;54;54;19;349
E23;KR;s;s;s;s
E24;KR;s;s;s;s
E25;KR;s;s;s;s
E26;KR;s;s;s;s
E28;KR;0;0;0;685
E29;KR;0;0;0;770
E30;KR;0;0;0;748
E31;KR;0;0;0;819
E32;KR;1;1;1;702
E33;KR;s;s;s;s
E34;KR;3;9;2;663
E35;KR;29;28;13;445
E36;KR;s;s;s;s
E37;KR;5;5;3;607
E38;KR;3;3;2;578
T;KR;184;194;84;455
E12;LR;6579;6455;4;0.68
E13;LR;7083;7121;5;0.74
E14;LR;33357;33154;25;0.74
E16;LR;12697;12639;9;0.7
E18;LR;4626;4525;3;0.72
E19;LR;15419;15341;12;0.75
E20;LR;17149;17047;11;0.64
E21;LR;96039;94643;70;0.72
E22;LR;2546;2436;2;0.7
E23;LR;2440;2221;2;0.74
E24;LR;3469;3554;3;0.73
E25;LR;635;659;0;0.72
E26;LR;6580;6538;5;0.75
E28;LR;4190;4154;3;0.65
E29;LR;16157;16046;12;0.73
E30;LR;10478;10610;8;0.75
E31;LR;5081;5113;4;0.74
E32;LR;9376;9117;8;0.89
E33;LR;7348;7203;6;0.8
E34;LR;5000;4757;3;0.7
E35;LR;5559;5441;4;0.76
E36;LR;553;523;0;0.76
E37;LR;6961;7011;5;0.71
E38;LR;64699;61932;48;0.75
T;LR;344023;338238;252;0.73
E12;OR;s;s;s;s
E13;OR;s;s;s;s
E14;OR;s;s;s;s
E16;OR;s;s;s;s
E18;OR;0;0;0;0
E19;OR;0;0;0;0
E20;OR;154;160;3;18
E21;OR;88;88;4;49
E22;OR;0;0;0;0
E23;OR;10;10;1;65
E24;OR;s;s;s;s
E25;OR;0;0;0;0
E26;OR;s;s;s;s
E28;OR;s;s;s;s
E29;OR;3;7;0;55
E30;OR;s;s;s;s
E31;OR;1;1;0;18
E32;OR;1;1;0;109
E33;OR;17;17;1;69
E34;OR;0;0;0;243
E35;OR;1073;1384;41;38
E36;OR;0;25;0;0
E37;OR;14;19;1;61
E38;OR;477;1535;15;32
T;OR;2416;3863;101;42
