ENERGIE2;SECTEUR;USQF;USQ2;USQ3;USQ4;CSTP
OR;18;0;so;0;s;s
OR;20;56;so;s;s;s
OR;21;0;so;0;0;0
OR;22;10;so;0;1;11
OR;23;s;so;0;s;61
OR;24;s;so;0;s;0
OR;25;1;so;0;2;2
OR;26;0;so;0;0;0
OR;27;0;so;0;s;s
OR;28;0;so;0;s;s
OR;29;s;so;0;s;0
OR;30;s;so;0;1;s
OR;31;1;so;0;14;15
OR;32;0;so;0;s;s
OR;33;0;so;0;0;0
OR;38;0;so;0;0;0
OR;T;904;so;26;62;993
