"NCE_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la nomenclature des activités consommatrices d'énergie",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
E19 - Production de minéraux divers,so,so,43,so,0,0,0,so,0,0,0,so,0,0,0,so,94,94,3,33,0,0,0,so,s,s,s,s,0,0,0,so,21180,16686,13,0.62,0,0,0,so,s,s,s,s,s,s,s,s
"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",so,so,344,so,286,290,27,94,82,82,8,101,s,s,s,s,2854,2854,71,25,681,703,70,103,s,s,s,s,24,26,9,368,12323,12175,7,0.58,195,215,4,22,89,89,2,27,s,2406,144,60
E21 - Production d'autres matériaux de construction et de céramique,so,so,468,so,2,2,0,158,2,2,0,267,50,50,16,318,5311,5311,158,30,24,25,13,532,7,6,4,637,11,11,4,392,72937,70616,43,0.59,86,96,4,49,s,s,s,s,s,s,s,s
E22 - Industrie du verre,so,so,521,so,0,0,0,so,0,0,0,so,0,0,0,474,10118,10118,263,26,s,s,s,s,s,s,s,s,122,122,37,306,2744,2413,2,0.59,s,s,s,s,17,17,0,25,3370,3373,215,64
E23 - Fabrication d'engrais,so,so,313,so,0,0,0,so,0,0,0,so,0,0,0,so,12281,12281,266,22,0,0,0,so,s,s,s,s,s,s,s,s,1974,1910,1,0.64,20,24,1,59,0,0,0,so,s,736,42,64
E24 - Autres industries de la chimie minérale,so,so,742,so,s,s,s,s,s,s,s,s,89,88,19,209,5552,5552,135,24,s,s,s,s,2,2,1,545,s,s,s,s,2858,2809,2,0.59,s,s,s,s,4308,4308,111,26,8570,8786,401,47
"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",so,so,615,so,s,s,s,s,0,0,0,so,0,0,0,so,s,s,s,s,0,0,0,so,s,s,s,s,s,s,s,s,628,596,0,0.62,0,0,0,so,1891,1891,52,28,s,2717,154,57
E26 - Autres industries de la chimie organique de base,so,so,1548,so,0,0,0,so,0,0,0,so,0,0,0,so,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,5807,5585,3,0.59,s,s,s,s,6960,6960,181,26,6921,7208,408,59
E28 - Parachimie et industrie pharmaceutique,so,so,321,so,0,0,0,so,0,0,0,so,0,0,0,so,2353,2353,85,36,0,0,0,so,15,15,10,646,0,0,0,634,5025,5045,3,0.56,s,s,s,s,192,192,7,37,s,2713,215,79
E29 - Fonderie et travail des métaux,so,so,931,so,s,s,s,s,s,s,s,s,209,208,53,252,6792,6792,234,34,0,0,0,667,s,s,s,s,s,s,s,s,16668,16515,10,0.61,s,s,s,s,21,21,1,54,7377,7401,600,81
E30 - Construction mécanique,so,so,352,so,0,0,0,so,0,0,0,so,0,0,0,so,1880,1880,80,42,0,0,0,so,9,9,7,753,1,1,0,537,16167,14620,10,0.59,1,5,0,102,4,4,0,74,2853,2858,254,89
E31 - Construction électrique et électronique,so,so,418,so,0,0,0,so,0,0,0,so,s,s,s,s,2431,2431,100,41,0,0,0,so,4,4,3,711,s,s,s,s,6044,6043,3,0.55,s,s,s,s,14,14,1,55,3961,3963,307,77
E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,so,so,483,so,0,0,0,so,0,0,0,so,s,s,s,s,4039,4039,138,34,0,0,0,so,s,s,s,s,0,0,0,591,8792,8698,5,0.62,4,7,0,68,171,171,5,28,4721,4732,327,69
"E33 - Construction navale et aéronautique, armement",so,so,215,so,0,0,0,so,0,0,0,so,0,0,0,so,1280,1280,49,38,0,0,0,so,2,3,2,737,s,s,s,s,2947,2672,2,0.63,s,s,s,s,83,83,4,46,s,1993,157,79
"E34 - Industrie textile, du cuir et de l'habillement",so,so,174,so,0,0,0,so,0,0,0,so,0,0,0,so,1572,1572,58,37,0,0,0,so,4,5,2,577,3,4,1,431,5702,5483,3,0.59,0,0,0,171,0,0,0,so,1327,1329,110,83
E35 - Industrie du papier et du carton,so,so,928,so,36,36,3,94,0,0,0,so,0,0,0,so,11067,11067,301,27,0,0,0,so,5,5,4,662,41,40,13,314,6141,5857,4,0.59,967,1212,49,50,5244,5244,107,20,7703,8703,447,58
E36 - Fabrication de produits en caoutchouc,so,so,135,so,0,0,0,so,0,0,0,so,0,0,0,so,993,993,32,32,0,0,0,so,2,2,1,487,0,0,0,486,225,216,0,0.63,0,68,0,so,483,483,10,21,s,1282,91,75
E37 - Fabrication de produits en plastique,so,so,516,so,0,0,0,so,0,0,0,so,0,0,0,so,1821,1821,69,38,0,0,0,so,8,7,6,756,8,9,3,397,6029,6005,4,0.58,0,3,0,56,342,342,8,24,s,5385,427,79
E38 - Industries diverses,so,so,557,so,0,0,0,so,0,0,0,so,0,0,0,so,2918,2918,103,35,s,s,s,s,12,11,9,744,s,s,s,s,42168,39487,26,0.61,308,1265,10,34,292,292,5,18,4709,4713,401,85
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquêtes annuelles sur les consommations d'énergie dans l'industrie 2015 (2 vagues d’interrogation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
