ENERGIES,,,Houille (en milliers de tonnes),,,,Lignite - charbon pauvre (en milliers de tonnes),,,,Coke de houille (en milliers de tonnes),,,,Gaz  de réseau (en GWh),,,,Coke de pétrole (en milliers de tonnes),,,,Butane propane (en milliers de tonnes),,,,Fioul lourd (en milliers de tonnes),,,,Fioul domestique (gazole non routier) (en milliers de litres),,,,Bois (en milliers de tonnes),,,,Vapeur (en milliers de tonnes),,,,Electricité (en GWh),,,
INDICATEUR,Nombre d'établissements du champ,Facture énergétique totale,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
SECTEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 - Fabrication de textiles,425,130,0,0,0,-,0,0,0,-,0,0,0,-,1334,1334,49,36.8,0,0,0,-,2,2,2,841.4,s,s,s,s,2687,2700,2,0.8,0,0,0,-,s,s,s,s,1012,1012,75,73.9
14 - Industrie de l'habillement,254,22,0,0,0,-,0,0,0,-,0,0,0,-,228,228,9,40.4,0,0,0,-,0,0,0,973.8,0,0,0,-,1857,1783,1,0.8,0,0,0,-,0,0,0,-,123,125,10,85.4
15 - Industrie du cuir et de la chaussure,202,22,0,0,0,-,0,0,0,-,0,0,0,-,96,96,5,46.9,0,0,0,-,4,4,4,811.3,2,2,1,610.1,1687,1678,1,0.8,0,0,0,-,1,1,0,72.7,130,131,11,85.9
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",693,173,0,0,0,-,0,0,0,-,0,0,0,-,818,818,27,32.7,0,0,0,-,4,4,3,881.7,2,2,1,639.9,12688,12910,10,0.8,306,950,7,23.8,86,86,2,23.3,1684,1687,122,72.5
17 - Industrie du papier et du carton,526,976,41,42,5,112.9,0,0,0,-,0,0,0,-,10092,10092,305,30.2,0,0,0,-,8,8,7,885,59,60,35,581.2,5759,6209,5,0.8,652,983,23,35.5,4806,4806,123,25.5,8586,9305,475,55.3
18 - Imprimerie et reproduction d'enregistrements,673,140,0,0,0,-,0,0,0,-,0,0,0,-,927,927,33,35.9,0,0,0,-,s,s,s,s,s,s,s,s,2607,2566,2,0.8,0,0,0,-,s,s,s,s,1350,1354,103,76.1
20 - Industrie chimique,801,3621,434,430,49,112.6,s,s,s,s,s,s,s,s,43242,43242,1202,27.8,s,s,s,s,1345,1338,937,696.4,232,232,127,548.9,15002,15044,12,0.8,s,s,s,s,10189,10189,331,32.5,17309,17967,950,54.9
21 - Industrie pharmaceutique,258,242,0,0,0,-,0,0,0,-,0,0,0,-,2228,2228,77,34.4,0,0,0,-,2,2,2,1054.2,0,1,0,629.8,s,s,s,s,0,0,0,-,317,317,12,37.6,2126,2129,149,70.3
22 - Fabrication de produits en caoutchouc et en plastique,1450,644,0,0,0,-,0,0,0,-,0,0,0,-,2733,2733,96,35.1,0,0,0,-,11,11,10,924.6,19,19,11,603.4,10176,10394,8,0.8,0,77,0,254.4,1083,1083,37,34.4,6688,6699,481,72
23 - Fabrication d'autres produits minéraux non métalliques,876,1370,640,587,63,98.9,77,78,8,108.8,100,103,31,314.5,17916,17916,530,29.6,710,733,81,113.5,18,19,16,872.5,224,226,122,547.2,38126,38377,30,0.8,185,193,5,27.2,84,84,2,26.9,s,7679,s,s
