Nom du fichier xlsx,EACEI_2022_SL_T1,Unnamed: 2,Unnamed: 3,Unnamed: 4
EACEI_MEASURE,Mesure EACEI,GAZR_PRIX,Prix moyen annuel du gaz de réseau (en € / Mwh),Prix moyen annuel du gaz de réseau (en € / Mwh)|Prix moyen annuel du gaz de réseau (en € / Mwh)
EACEI_MEASURE,Mesure EACEI,BIOR_PRIX,Prix moyen annuel du Biogaz et biométhane (en € /t),Prix moyen annuel du Biogaz et biométhane (en € /t)|Prix moyen annuel du Biogaz et biométhane (en € /t)
EACEI_MEASURE,Mesure EACEI,FR_PRIX,Prix moyen annuel de la houille (en € / t),Prix moyen annuel de la houille (en € / t)|Prix moyen annuel de la houille (en € / t)
EACEI_MEASURE,Mesure EACEI,GR_PRIX,Prix moyen annuel de la lignite,"Prix moyen annuel de la lignite, du charbon pauvre (en € / t)|Prix moyen annuel de la lignite, du charbon pauvre (en € / t)"
EACEI_MEASURE,Mesure EACEI,HR_PRIX,Prix moyen annuel du coke de houille (en € / t),Prix moyen annuel du coke de houille (en € / t)|Prix moyen annuel du coke de houille (en € / t)
EACEI_MEASURE,Mesure EACEI,IR_PRIX,Prix moyen annuel du coke de pétrole (en € / t),Prix moyen annuel du coke de pétrole (en € / t)|Prix moyen annuel du coke de pétrole (en € / t)
EACEI_MEASURE,Mesure EACEI,JR_PRIX,Prix moyen annuel du butane-propane (en € / t),Prix moyen annuel du butane-propane (en € / t)|Prix moyen annuel du butane-propane (en € / t)
EACEI_MEASURE,Mesure EACEI,KR_PRIX,Prix moyen annuel du fioul lourd (en € / t),Prix moyen annuel du fioul lourd (en € / t)|Prix moyen annuel du fioul lourd (en € / t)
EACEI_MEASURE,Mesure EACEI,LR_PRIX,Prix moyen annuel du fioul domestique (en € / l),Prix moyen annuel du fioul domestique (en € / l)|Prix moyen annuel du fioul domestique (en € / l)
EACEI_MEASURE,Mesure EACEI,QR_PRIX,Prix moyen annuel du gazole non routier (en € / l),Prix moyen annuel du gazole non routier (en € / l)|Prix moyen annuel du gazole non routier (en € / l)
EACEI_MEASURE,Mesure EACEI,OR_PRIX,Prix moyen annuel du bois (en € / t),Prix moyen annuel du bois (en € / t)|Prix moyen annuel du bois (en € / t)
EACEI_MEASURE,Mesure EACEI,PR_PRIX,Prix moyen annuel d’hydrogène (en €/t),Prix moyen annuel d’hydrogène (en €/t)|Prix moyen annuel d’hydrogène (en €/t)
EACEI_MEASURE,Mesure EACEI,_T,Total,
NUMBER_EMPL,Taille de l'entreprise/établissement,_T,Total,
