2025-07-18 21:40:46,083 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,083 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,083 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,084 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,084 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,085 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,085 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,086 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,088 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,089 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,089 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,093 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,095 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group 'IDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,096 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,097 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,098 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,102 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,103 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'FRA' included a suppressed or null value (s, so, ns, or null).
