2025-07-19 21:38:55,842 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '30' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,843 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '32' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,843 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '33' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,860 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,870 | INFO | Script: step_3_T4.py | File: 2011_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,915 | INFO | --- Processing file: 2011_REG_T4.csv ---
2025-07-19 21:38:55,920 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'IDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,920 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,921 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'CVL' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,922 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'BFC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,922 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,923 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,923 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'PAL' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,926 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,931 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,931 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,933 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,934 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,937 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'GRE' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,937 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,938 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,940 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Électricité autoproduite' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,943 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Électricité autoproduite' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,944 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,945 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,946 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,947 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,949 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,950 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,951 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,951 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,955 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,956 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,957 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,958 | INFO | Script: step_3_T4.py | File: 2011_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,977 | INFO | --- Processing file: 2011_TEFF_T4.csv ---
2025-07-19 21:38:55,981 | INFO | Script: step_3_T4.py | File: 2011_TEFF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '20-49' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,982 | INFO | Script: step_3_T4.py | File: 2011_TEFF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '500+' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,990 | INFO | Script: step_3_T4.py | File: 2011_TEFF_T4.csv | RowAggregationWarning: Sum across axis '500+' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
