2025-07-18 21:35:57,835 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOR' for group 'Consommation de fioul lourd' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,841 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Consommation de combustibles usuels' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,844 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation de combustibles usuels' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,847 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'GRE' for group 'Consommation d’autres produits pétroliers' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,848 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation d’autres produits pétroliers' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,849 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOR' for group 'Consommation d’autres produits pétroliers' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,852 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation de liqueur noire' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,852 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Consommation de liqueur noire' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,855 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'GRE' for group 'Consommation de bois et sous-produit du bois' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,855 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Consommation de bois et sous-produit du bois' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,856 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Consommation de bois et sous-produit du bois' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,861 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'GRE' for group 'Consommation de combustibles spéciaux renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,862 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation de combustibles spéciaux renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,863 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Consommation de combustibles spéciaux renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,864 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Consommation de combustibles spéciaux non renouvelables' included a suppressed or null value (s, so, ns, or null).
