ENERGIE;SECTEUR;QAUP;CSUP;VALA;PRIX
DR;13;1345;1345;43;32
DR;14;s;s;s;s
DR;15;s;s;s;s
DR;16;686;686;18;27
DR;17;10206;10206;235;23
DR;18;472;472;18;38
DR;20;37107;37107;699;19
DR;21;2033;2033;67;33
DR;22;2950;2950;98;33
DR;23;20721;20721;460;22
DR;24;13689;13689;305;22
DR;25;3756;3756;134;36
DR;26;s;s;s;s
DR;27;1184;1184;42;36
DR;28;1646;1646;68;41
DR;29;3897;3897;124;32
DR;30;1391;1391;53;38
DR;31;221;221;9;42
DR;32;357;357;13;37
DR;33;356;356;15;43
DR;38;1101;1101;28;26
DR;T;136487;136487;3345;25
FR;07;0;0;0;0
FR;08;0;0;0;0
FR;10;336;347;41;122
FR;11;0;0;0;0
FR;12;0;0;0;0
FR;13;0;0;0;0
FR;14;0;0;0;0
FR;15;0;0;0;0
FR;16;0;0;0;0
FR;17;18;18;2;109
FR;18;0;0;0;0
FR;20;578;532;85;148
FR;21;0;0;0;0
FR;22;0;0;0;0
FR;23;414;417;63;151
FR;24;7582;7464;1279;169
FR;25;s;s;s;s
FR;26;0;0;0;0
FR;27;21;21;6;312
FR;28;0;0;0;0
FR;29;s;s;s;s
FR;30;0;0;0;0
FR;31;0;0;0;0
FR;32;0;0;0;0
FR;33;0;0;0;0
FR;38;0;0;0;0
FR;T;8971;8821;1484;165
IR;07;0;0;0;0
IR;08;0;0;0;0
IR;10;s;s;s;s
IR;11;0;0;0;0
IR;12;0;0;0;0
IR;13;0;0;0;0
IR;14;0;0;0;0
IR;15;0;0;0;0
IR;16;0;0;0;0
IR;17;0;0;0;0
IR;18;0;0;0;0
IR;20;s;s;s;s
IR;21;0;0;0;0
IR;22;0;0;0;0
IR;23;578;588;85;147
IR;24;s;s;s;s
IR;25;0;0;0;0
IR;26;0;0;0;0
IR;27;0;0;0;0
IR;28;0;0;0;0
IR;29;0;0;0;0
IR;30;0;0;0;0
IR;31;0;0;0;0
IR;32;0;0;0;0
IR;33;0;0;0;0
IR;38;0;0;0;0
IR;T;736;746;124;168
JR;07;s;s;s;s
JR;08;1;1;1;641
JR;10;58;61;34;589
JR;11;6;6;4;657
JR;12;0;0;0;1213
JR;13;4;4;2;566
JR;14;1;1;0;737
JR;15;1;1;0;619
JR;16;s;s;s;s
JR;17;4;5;3;796
JR;18;2;2;2;781
JR;20;2496;2492;992;397
JR;21;2;2;1;718
JR;22;11;11;8;735
JR;23;13;13;9;655
JR;24;s;s;s;s
JR;25;29;29;20;683
JR;26;0;0;0;770
JR;27;3;3;2;757
JR;28;9;9;6;710
JR;29;s;s;s;s
JR;30;3;3;2;736
JR;31;3;3;2;626
JR;32;1;1;1;755
JR;33;2;2;2;973
JR;38;s;s;s;s
JR;T;2674;2674;1108;414
KR;07;0;0;0;0
KR;08;1;1;1;980
KR;10;35;35;20;580
KR;11;1;1;1;597
KR;12;0;0;0;0
KR;13;2;2;1;619
KR;14;0;0;0;882
KR;15;0;0;0;0
KR;16;1;1;1;639
KR;17;26;28;11;432
KR;18;0;0;0;523
KR;20;s;s;s;s
KR;21;0;0;0;0
KR;22;20;20;9;467
KR;23;63;65;24;390
KR;24;4;4;2;452
KR;25;s;s;s;s
KR;26;s;s;s;s
KR;27;0;0;0;866
KR;28;0;0;0;658
KR;29;s;s;s;s
KR;30;1;1;0;647
KR;31;0;0;0;0
KR;32;0;0;0;0
KR;33;0;0;0;0
KR;38;2;2;2;964
KR;T;172;176;83;482
LR;07;s;s;s;s
LR;08;76169;76420;58;0.76
LR;10;s;s;s;s
LR;11;2969;2947;2;0.76
LR;12;9;9;0;0.82
LR;13;s;s;s;s
LR;14;1771;1697;1;0.7
LR;15;553;530;0;0.76
LR;16;17929;17940;14;0.77
LR;17;5475;5494;4;0.74
LR;18;1108;1209;1;0.75
LR;20;16345;16366;12;0.75
LR;21;1215;1102;1;0.83
LR;22;6782;6608;5;0.75
LR;23;46615;46657;32;0.69
LR;24;20685;20693;15;0.73
LR;25;12082;11932;9;0.76
LR;26;7124;7041;5;0.72
LR;27;2611;2647;2;0.75
LR;28;11659;11474;10;0.82
LR;29;4231;4374;4;1
LR;30;2772;2968;2;0.87
LR;31;2762;2690;2;0.73
LR;32;821;664;1;0.74
LR;33;11797;12193;11;0.91
LR;38;30653;30681;24;0.79
LR;T;322670;323092;245;0.76
OR;07;0;0;0;
OR;08;s;s;s;s
OR;10;278;278;18;64
OR;11;0;0;0;
OR;12;0;0;0;
OR;13;0;0;0;
OR;14;0;0;0;
OR;15;s;s;s;s
OR;16;354;1187;12;34
OR;17;930;1388;37;39
OR;18;s;s;s;s
OR;20;225;265;12;53
OR;21;0;0;0;
OR;22;10;42;1;57
OR;23;261;268;6;25
OR;24;1;1;0;113
OR;25;3;7;0;91
OR;26;0;0;0;
OR;27;0;1;0;13
OR;28;s;s;s;s
OR;29;s;s;s;s
OR;30;s;s;s;s
OR;31;2;47;0;70
OR;32;0;0;0;
OR;33;0;0;0;
OR;38;s;s;s;s
OR;T;2094;3520;88;42
PR;07;0;0;0;0
PR;08;0;0;0;0
PR;10;8750;8750;4;0
PR;11;0;0;0;0
PR;12;0;0;0;0
PR;13;0;0;0;0
PR;14;0;0;0;0
PR;15;0;0;0;0
PR;16;0;0;0;0
PR;17;0;0;0;0
PR;18;0;0;0;0
PR;20;277210;821079;24;0
PR;21;0;0;0;7
PR;22;0;0;0;0
PR;23;4835;5577;3;1
PR;24;s;s;s;s
PR;25;1858;1858;1;1
PR;26;266;266;0;1
PR;27;1307;1307;1;1
PR;28;s;s;s;s
PR;29;s;s;s;s
PR;30;7;127;0;2
PR;31;0;0;0;0
PR;32;s;s;s;s
PR;33;s;s;s;s
PR;38;0;0;0;13
PR;T;338211;888016;54;0
