ENERGIE2;SECTEUR;USQF;USQ2;USQ3;USQ4;USQ8;CSTP
KR;28;;0;0;;;0
KR;29;;0;s;;;s
KR;30;;0;0;;;0
KR;31;;0;0;;;0
KR;32;;0;0;;;0
KR;33;;0;0;;;0
KR;38;;0;1;;;2
KR;T;;0;3;;;168
LR;07;;0;0;;;s
LR;08;;1;0;;;65
LR;10;;0;3;;;s
LR;11;;s;s;;;2
LR;12;;0;s;;;0
LR;13;;s;0;;;s
LR;14;;0;0;;;1
LR;15;;0;0;;;0
LR;16;;s;0;;;15
LR;17;;0;0;;;5
LR;18;;0;0;;;1
LR;20;;1;0;;;14
LR;21;;0;0;;;1
LR;22;;0;0;;;6
LR;23;;1;1;;;39
LR;24;;0;0;;;17
LR;25;;0;s;;;10
LR;26;;0;0;;;6
LR;27;;0;0;;;2
LR;28;;0;0;;;10
LR;29;;s;0;;;4
LR;30;;s;0;;;3
LR;31;;0;0;;;2
LR;32;;0;s;;;1
LR;33;;0;0;;;10
LR;38;;2;0;;;26
LR;T;;6;7;;;273
OR;07;;so;0;;;0
OR;08;;so;0;;;s
OR;10;;so;0;;;71
OR;11;;so;0;;;0
OR;12;;so;0;;;0
OR;13;;so;0;;;0
OR;14;;so;0;;;0
OR;15;;so;0;;;s
OR;16;;so;0;;;305
OR;17;;so;s;;;357
OR;18;;so;0;;;s
OR;20;;so;s;;;68
OR;21;;so;0;;;0
OR;22;;so;0;;;11
OR;23;;so;0;;;69
OR;24;;so;0;;;0
OR;25;;so;0;;;2
OR;26;;so;0;;;0
OR;27;;so;0;;;0
OR;28;;so;0;;;s
OR;29;;so;0;;;s
OR;30;;so;0;;;s
OR;31;;so;0;;;12
OR;32;;so;0;;;0
OR;33;;so;0;;;0
OR;38;;so;0;;;s
OR;T;;so;28;;;905
PR;07;;0;0;;0;0
PR;08;;0;0;;0;0
PR;10;;3;0;;0;3
PR;11;;0;0;;0;0
PR;12;;0;0;;0;0
PR;13;;0;0;;0;0
PR;14;;0;0;;0;0
PR;15;;0;0;;0;0
PR;16;;0;0;;0;0
PR;17;;0;0;;0;0
PR;18;;0;0;;0;0
PR;20;;92;0;;180;272
PR;21;;0;0;;0;0
PR;22;;0;0;;0;0
PR;23;;1;0;;0;2
PR;24;;s;0;;7;s
PR;25;;0;0;;0;1
PR;26;;s;s;;0;0
PR;27;;s;0;;s;0
PR;28;;s;0;;0;s
PR;29;;s;0;;0;s
PR;30;;0;s;;s;0
PR;31;;0;0;;0;0
PR;32;;0;0;;s;s
PR;33;;s;0;;0;s
PR;38;;0;0;;0;0
PR;T;;s;s;;188;295
