year,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,Consommation d’électricité,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d'électricité,Total net de la consommation,ID,NAF,Total combustibles,Autoconsommation d'électricité,REG,TEFF, NAF,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Consommation pour production d'électricité,Combustibles spéciaux nonrenouvelables
2011,,0.0,66,,s,11,8,80,,167,11,0,11,,s,s,s,s,81,289,0,0,289,08,Autres industries extractives,s,1,,,,,,,,
2011,,0.0,2332,,0,87,245,34,,2989,4,0,42,,0,0,46,153,1413,4705,44,260,4401,10,Industries alimentaires,3035,104,,,,,,,,
2011,,0.0,84,,0,9,2,4,,98,0,0,0,,0,0,0,4,130,232,0,0,232,11,Fabrication de boissons,98,0,,,,,,,,
2011,,0.0,134,,0,3,3,2,,143,0,0,0,,0,0,0,1,97,241,0,2,239,13,Fabrication de textiles,143,0,,,,,,,,
2011,,0.0,12,,0,1,0,2,,14,0,0,0,,0,0,0,s,9,s,0,s,24,14,Industrie de l'habillement,14,s,,,,,,,,
2011,,0.0,7,,0,1,1,3,,12,0,0,s,,0,0,s,s,10,24,0,0,24,15,Industrie du cuir et de la chaussure,s,0,,,,,,,,
2011,,0.0,59,,0,4,2,12,,77,0,s,221,,s,0,223,0,149,449,s,s,442,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",300,1,,,,,,,,
2011,,0.0,767,,0,9,59,6,,866,s,850,293,,112,s,1258,368,763,3329,11,488,2831,17,Industrie du papier et du carton,2124,74,,,,,,,,
2011,,0.0,71,,s,3,0,3,,77,0,0,0,,0,1,1,s,113,193,0,5,188,18,Imprimerie et reproduction d'enregistrements,78,0,,,,,,,,
2011,,0.0,3397,,s,1348,348,15,,5454,1094,s,s,,30,37,1192,706,1491,8897,256,362,8280,20,Industrie chimique,6646,55,,,,,,,,
2011,,0.0,176,,s,1,1,2,,180,0,0,0,,0,s,s,s,184,386,s,s,382,21,Industrie pharmaceutique,s,0,,,,,,,,
2011,,0.0,212,,0,16,14,9,,255,0,0,18,,s,s,18,85,607,966,0,8,958,22,Fabrication de produits en caoutchouc et en plastique,273,1,,,,,,,,
2011,,0.0,1385,,593,21,291,35,,2771,218,0,35,,89,339,680,20,698,4174,0,14,4161,23,Fabrication d'autres produits minéraux non métalliques,3451,6,,,,,,,,
2011,,0.0,1040,,s,20,29,27,,5629,0,0,40,,s,s,41,48,1846,7616,s,s,7614,24,Métallurgie,5670,52,,,,,,,,
2011,,0.0,338,,8,31,2,13,,410,0,0,1,,0,1,1,2,451,865,0,1,864,25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",411,0,,,,,,,,
2011,,0.0,44,,0,0,0,2,,46,s,0,0,,0,s,s,s,203,251,0,0,250,26,"Fabrication de produits informatiques, électroniques et optiques",s,0,,,,,,,,
2011,,0.0,108,,27,5,2,6,,171,s,0,s,,0,s,s,s,181,357,0,1,357,27,Fabrication d'équipements électriques,s,0,,,,,,,,
2011,,0.0,146,,0,11,0,10,,168,0,0,0,,0,0,1,1,192,363,0,0,363,28,Fabrication de machines et équipements n.c.a.,169,0,,,,,,,,
2011,,0.0,293,,0,8,1,4,,314,0,0,s,,0,0,s,s,405,755,s,s,743,29,Industrie automobile,s,s,,,,,,,,
2011,,0.0,124,,s,3,s,3,,131,s,0,s,,s,0,1,6,150,293,0,13,280,30,Fabrication d'autres matériels de transport,132,6,,,,,,,,
2011,,0.0,28,,s,5,s,4,,37,0,0,19,,0,0,19,0,46,102,0,0,102,31,Fabrication de meubles,56,0,,,,,,,,
2011,,0.0,27,,0,1,0,1,,29,0,0,0,,0,0,0,s,54,83,0,0,83,32,Autres industries manufacturières,29,0,,,,,,,,
2011,,0.0,19,,0,1,1,3,,26,s,0,0,,0,0,s,2,28,s,s,0,55,33,Réparation et installation de machines et d'équipements,s,s,,,,,,,,
2011,,0.0,10,,0,1,1,13,,26,1,0,0,,0,0,1,0,25,52,0,0,52,38,Récupération,27,s,,,,,,,,
2011,,0.0,8463,,771,1506,763,252,,16999,1326,870,637,,236,390,3459,1307,7751,29714,270,917,28527,,,20458,198,Toutes régions,,,,,,,
2011,,0.0,524,,6,6,11,11,,607,s,0,0,,s,0,4,24,412,1051,0,20,1031,,,611,4,Ile-de-France,,,,,,,
2011,,0.0,245,,s,11,31,9,,323,s,0,s,,s,s,115,s,225,701,s,s,699,,,438,s,Champagne-Ardenne,,,,,,,
2011,,0.0,324,,0,19,35,9,,399,14,0,s,,s,s,28,s,265,745,s,s,731,,,427,s,Picardie,,,,,,,
2011,,0.0,942,,s,s,106,10,,1358,390,0,112,,s,17,569,181,447,2583,16,88,2479,,,1927,28,Haute-Normandie,,,,,,,
2011,,0.0,271,,36,10,5,10,,375,s,0,27,,6,s,35,s,271,690,0,14,676,,,410,s,Centre,,,,,,,
2011,,0.0,66,,s,5,2,8,,110,s,0,2,,s,s,10,0,100,220,0,1,220,,,120,0,Basse-Normandie,,,,,,,
2011,,0.0,199,,s,6,25,7,,244,4,0,19,,s,s,28,5,178,455,0,0,455,,,272,0,Bourgogne,,,,,,,
2011,,0.0,882,,145,s,71,24,,3576,s,0,3,,s,105,321,126,1256,5290,s,s,5259,,,3897,11,Nord-Pas-de-Calais,,,,,,,
2011,,0.0,687,,46,8,7,17,,1938,s,0,62,,s,63,395,77,694,3122,46,59,3017,,,2333,17,Lorraine,,,,,,,
2011,,0.0,937,,s,7,8,8,,982,s,0,19,,8,s,134,36,398,1555,6,28,1521,,,1116,5,Alsace,,,,,,,
2011,,0.0,164,,s,8,7,6,,277,0,0,11,,s,s,21,s,262,618,s,s,572,,,298,s,Franche-Comté,,,,,,,
2011,,0.0,199,,61,36,3,17,,328,s,0,37,,s,s,88,59,309,784,s,s,776,,,416,0,Pays de la Loire,,,,,,,
2011,,0.0,106,,0,12,3,11,,132,1,s,5,,0,s,10,21,142,305,0,1,305,,,142,0,Bretagne,,,,,,,
2011,,0.0,150,,63,11,27,16,,333,8,0,19,,22,38,86,s,150,579,s,s,576,,,419,s,Poitou-Charentes,,,,,,,
2011,,0.0,232,,0,11,117,9,,413,0,382,137,,s,s,540,173,359,1510,s,s,1323,,,953,26,Aquitaine,,,,,,,
2011,,0.0,184,,s,11,8,9,,s,s,s,36,,6,s,s,35,176,701,0,26,675,,,467,23,Midi-Pyrénées,,,,,,,
2011,,0.0,64,,0,2,2,3,,s,0,s,6,,3,0,s,s,61,381,s,s,375,,,284,s,Limousin,,,,,,,
2011,,0.0,1284,,135,22,103,25,,1716,54,0,61,,23,37,175,221,1165,3289,122,172,2995,,,1891,11,Rhône-Alpes,,,,,,,
2011,,0.0,191,,s,1,24,7,,266,0,0,6,,s,s,11,7,168,452,s,s,436,,,277,0,Auvergne,,,,,,,
2011,,0.0,133,,31,3,5,9,,247,s,0,s,,3,36,52,s,132,436,s,s,430,,,299,s,Languedoc-Roussillon,,,,,,,
